card,nationality,team,division,salary,position,hand,weight_lb,height_in,name,overall,aOVR,acceleration,agility,balance,endurance,speed,slap_shot_accuracy,slap_shot_power,wrist_shot_accuracy,wrist_shot_power,deking,offensive_awareness,hand_eye,passing,puck_control,body_checking,strength,aggression,durability,fighting_skill,defensive_awareness,shot_blocking,stick_checking,faceoffs,discipline,card_api_id,player_group_id,other_card_ids
BEM,Canada,SEA,Pacific,$3.0M,RD,RIGHT,199.0,72,BRANDON MONTOUR,82,82.15,85,83,80,81,87,77,88,79,84,81,84,77,85,83,82,81,81,80,64,84,79,82,45,78,4015,G281,"1517,3717,4014,4016,4017,4018,4019"
BEM,Canada,SEA,Pacific,$4.0M,RD,RIGHT,199.0,72,BRANDON MONTOUR,83,83.05,85,84,81,82,87,78,89,80,85,82,85,78,86,84,83,82,82,81,65,85,80,83,46,79,4016,G281,"1517,3717,4014,4015,4017,4018,4019"
BEM,Canada,SEA,Pacific,$5.0M,RD,RIGHT,199.0,72,BRANDON MONTOUR,84,84.05,86,85,82,83,88,79,90,81,86,83,86,79,87,85,84,83,83,82,66,86,81,84,47,80,4017,G281,"1517,3717,4014,4015,4016,4018,4019"
BEM,Canada,SEA,Pacific,$7.0M,RD,RIGHT,199.0,72,BRANDON MONTOUR,86,86.30,87,87,84,86,89,81,92,83,88,85,88,81,90,87,90,86,85,84,68,88,83,86,49,82,4018,G281,"1517,3717,4014,4015,4016,4017,4019"
BEM,Canada,SEA,Pacific,$6.0M,RD,RIGHT,199.0,72,BRANDON MONTOUR,85,84.95,86,86,83,84,88,80,91,82,87,84,87,80,88,86,85,84,84,83,67,87,82,85,48,81,4019,G281,"1517,3717,4014,4015,4016,4017,4018"
BA,USA,VGK,Pacific,$0.7M,LW,LEFT,215.0,73,BRANDON SAAD,77,77.05,84,78,78,81,83,72,80,75,80,77,73,77,76,77,76,79,76,77,62,73,72,74,60,77,1664,G282,3766
MARQ,USA,CHI,Central,$6.0M,LW,LEFT,215.0,73,BRANDON SAAD,85,85.55,92,86,86,89,92,82,88,83,88,85,82,85,84,85,87,87,84,85,70,82,82,82,68,85,3766,G282,1664
BA,Canada,HFD,,$0.7M,LD,LEFT,218.0,76,BRANDON SCANLIN,77,77.35,86,82,85,79,84,65,83,66,82,73,67,67,70,69,83,82,84,84,77,75,83,82,59,74,2897,G283,
BA,Canada,UTA,Central,$0.7M,LW,LEFT,189.0,72,BRANDON TANEV,77,77.65,88,78,79,81,89,72,79,73,79,74,72,73,72,72,80,79,80,77,67,76,80,77,57,72,1611,G284,1944
CHEL,Canada,UTA,Central,$2.0M,LW,LEFT,189.0,72,BRANDON TANEV,81,81.45,90,82,83,85,91,76,83,77,83,78,76,77,76,76,84,83,84,81,71,80,84,81,61,76,1944,G284,1611
BA,Canada,LAK,Pacific,$0.9M,RD,RIGHT,200.0,74,BRANDT CLARKE,79,79.70,81,79,78,79,81,77,83,78,82,82,82,79,84,84,74,79,74,81,59,79,78,81,49,79,1280,G285,"3657,4297"
CHEL,Canada,LAK,Pacific,$3.0M,RD,RIGHT,200.0,74,BRANDT CLARKE,82,82.65,83,82,81,82,84,80,86,81,85,85,85,82,87,87,77,82,77,84,62,82,81,84,52,82,3657,G285,"1280,4297"
NG,Canada,LAK,Pacific,$5.0M,RD,RIGHT,200.0,74,BRANDT CLARKE,84,84.55,85,84,83,84,84,82,88,83,87,87,87,84,89,89,79,84,79,86,64,84,83,86,54,84,4297,G285,"1280,3657"
BA,Canada,VGK,Pacific,$0.7M,LD,LEFT,215.0,76,BRAYDEN MCNABB,77,76.50,77,75,81,75,80,68,80,68,79,69,74,68,77,74,80,81,79,77,72,79,85,81,47,67,1662,G286,4607
GM,Canada,VGK,Pacific,$6.0M,LD,LEFT,215.0,76,BRAYDEN MCNABB,85,85.00,83,84,90,84,82,77,89,77,88,78,83,77,86,83,89,90,88,86,81,88,94,90,56,76,4607,G286,1662
BA,Canada,CGY,Pacific,$0.5M,RD,RIGHT,202.0,74,BRAYDEN PACHAL,75,74.25,80,76,81,71,80,65,80,67,80,66,63,66,69,67,81,80,80,78,71,74,79,80,43,63,1104,G287,4000
BEM,Canada,CGY,Pacific,$4.0M,RD,RIGHT,202.0,74,BRAYDEN PACHAL,83,82.85,85,85,90,80,85,74,89,76,89,75,72,75,78,76,90,89,89,87,80,83,88,89,52,72,4000,G287,1104
BA,Canada,TBL,Atlantic,$5.0M,C,RIGHT,175.0,71,BRAYDEN POINT,84,84.60,89,89,81,84,90,86,84,86,84,89,89,88,88,87,75,80,75,84,57,82,80,86,81,85,1558,G288,
BA,Canada,STL,Central,$2.0M,C,LEFT,199.0,73,BRAYDEN SCHENN,81,81.70,82,80,84,80,82,83,83,80,83,81,81,81,81,81,83,83,83,80,76,81,79,83,83,75,1539,G289,
FANT,Canada,STL,Central,$6.0M,C,LEFT,200.0,73,BRAYDEN SCHENN,85,85.50,84,84,88,84,84,87,87,84,87,85,85,85,85,85,87,87,87,84,80,85,83,87,87,79,2668,G290,
BA,USA,HFD,,$0.7M,C,LEFT,191.0,72,BRENDAN BRISSON,77,77.65,82,78,79,76,81,74,81,76,81,80,77,78,76,78,75,80,78,80,65,74,70,79,77,75,2889,G291,
BA,USA,SYR,,$0.6M,LW,LEFT,205.0,73,BRENDAN FURRY,76,76.70,85,81,84,76,86,68,84,68,84,75,68,73,71,70,81,84,83,85,67,69,66,78,68,85,3164,G292,
BA,Canada,MTL,Atlantic,$0.9M,RW,RIGHT,185.0,69,BRENDAN GALLAGHER,79,79.10,83,78,79,77,83,76,80,79,80,79,78,78,78,78,80,79,82,68,67,79,76,80,60,77,1330,G293,2656
FANT,Canada,MTL,Atlantic,$6.0M,RW,RIGHT,185.0,69,BRENDAN GALLAGHER,85,85.80,87,85,86,84,87,83,87,86,87,86,85,85,85,85,87,86,89,75,67,86,83,87,67,84,2656,G293,1330
FI,Canada,CBJ,Metropolitan,$0.9M,LW,LEFT,219.0,75,BRENDAN GAUNCE,79,79.15,81,78,84,81,81,74,84,74,83,77,76,79,77,76,80,84,82,84,70,77,75,80,72,82,2418,G294,2822
BA,Canada,CLE,,$0.7M,LW,LEFT,219.0,75,BRENDAN GAUNCE,77,77.25,80,76,82,79,80,72,82,72,81,75,74,77,75,74,78,82,80,82,68,75,73,78,70,80,2822,G294,2418
ALUM,Canada,VAN,,$2.0M,C,LEFT,176.0,71,BRENDAN MORRISON,81,81.70,83,83,80,81,86,80,82,81,82,81,87,84,86,82,77,80,72,77,70,83,81,83,88,84,2266,G295,
ALUM,Canada,DET,,$4.0M,LW,RIGHT,220.0,75,BRENDAN SHANAHAN,83,83.20,86,82,85,82,84,85,86,86,86,83,86,84,83,81,82,84,81,79,72,82,79,77,69,74,1895,G296,3765
MARQ,Canada,DET,,$6.0M,LW,RIGHT,220.0,75,BRENDAN SHANAHAN,85,85.75,90,84,87,84,89,90,90,88,88,85,88,86,85,83,84,86,83,81,74,84,81,80,71,80,3765,G296,1895
BA,USA,ROC,,$0.6M,LW,LEFT,192.0,72,BRENDAN WARREN,76,76.90,85,81,84,77,84,68,83,68,83,79,68,72,70,71,81,83,83,84,73,69,70,79,69,79,3087,G297,
BA,Canada,NJD,Metropolitan,$0.6M,LD,LEFT,225.0,76,BRENDEN DILLON,76,76.05,78,74,81,75,79,68,78,69,78,71,72,69,74,73,81,80,81,71,78,80,80,80,46,58,1379,G298,"3964,4680"
GB,Canada,NJD,Metropolitan,$3.0M,LD,LEFT,225.0,76,BRENDEN DILLON,82,81.85,82,80,87,81,83,74,84,75,84,77,78,75,80,79,87,86,87,77,84,86,86,86,52,64,3964,G298,"1379,4680"
GM,Canada,NJD,Metropolitan,$6.0M,LD,LEFT,225.0,76,BRENDEN DILLON,85,84.55,82,83,90,84,83,77,87,78,87,80,81,78,83,82,90,89,90,80,87,89,89,89,55,67,4680,G298,"1379,3964"
ALUM,Canada,DAL,,$2.0M,LW,LEFT,212.0,71,BRENDEN MORROW,81,81.15,82,78,83,81,84,77,82,79,81,78,80,77,78,77,87,87,88,81,77,83,80,81,61,71,1856,G299,
BA,Canada,NYR,Metropolitan,$0.5M,LW,LEFT,192.0,72,BRENNAN OTHMANN,75,75.50,80,77,74,70,81,74,80,75,79,77,78,77,77,76,77,76,78,78,67,69,63,72,58,73,1427,G300,
ALUM,Canada,QUE,,$0.8M,LW,LEFT,210.0,73,BRENT ASHTON,78,78.50,82,79,79,81,82,77,80,77,80,78,78,78,78,76,78,81,77,83,67,78,79,72,70,78,2153,G301,
BA,Canada,COL,Central,$0.9M,RD,RIGHT,228.0,77,BRENT BURNS,79,79.50,81,77,83,79,81,74,84,75,84,75,80,75,82,81,82,83,79,77,72,77,79,79,47,72,1155,G302,"2513,3792,3793"
CMG,Canada,COL,Central,$6.0M,RD,RIGHT,228.0,77,BRENT BURNS,85,84.90,84,83,89,79,84,80,90,81,90,81,86,81,88,87,88,89,85,83,72,83,85,85,53,78,2513,G302,"1155,3792,3793"
MILE,Canada,MIN,Central,$7.0M,RD,RIGHT,228.0,77,BRENT BURNS,86,86.95,89,84,90,86,89,82,91,82,91,82,87,82,89,88,91,90,90,84,79,84,86,86,54,79,3792,G302,"1155,2513,3793"
MILE,Canada,COL,Central,$7.0M,RD,RIGHT,228.0,77,BRENT BURNS,86,86.90,86,84,90,90,86,85,91,82,91,82,87,82,89,88,89,90,86,84,79,85,88,87,54,79,3793,G302,"1155,2513,3792"
ALUM,Canada,DAL,,$0.7M,LW,LEFT,180.0,71,BRENT GILCHRIST,77,77.60,79,78,79,81,80,75,80,75,78,77,75,76,77,73,80,79,78,75,67,78,79,75,63,78,1863,G303,
ALUM,Canada,CHI,,$0.5M,LW,LEFT,202.0,73,BRENT GRIEVE,75,74.40,75,71,84,71,75,66,78,66,78,68,75,72,72,72,82,84,79,68,82,75,73,72,43,86,1825,G304,
ALUM,Canada,CHI,,$2.0M,RD,RIGHT,220.0,75,BRENT SEABROOK,81,80.70,78,74,84,80,84,80,81,78,81,76,80,76,81,79,83,84,83,71,77,86,85,81,51,76,1808,G305,
ALUM,Canada,NYI,,$2.0M,C,RIGHT,187.0,72,BRENT SUTTER,81,80.90,82,79,79,81,83,80,82,80,82,77,81,78,81,82,80,82,76,60,72,83,83,87,86,69,2066,G306,
BA,USA,HFD,,$0.7M,LW,LEFT,175.0,69,BRETT BERARD,77,77.85,85,81,78,80,85,73,81,74,81,81,77,80,79,79,74,79,76,81,61,70,64,80,61,81,2964,G307,4682
GM,USA,NYR,Metropolitan,$7.0M,LW,LEFT,175.0,69,BRETT BERARD,86,86.35,89,90,87,89,89,82,90,83,90,90,86,89,88,88,83,88,85,90,70,79,73,89,70,90,4682,G307,2964
BA,Canada,CGY,,$0.9M,RW,LEFT,179.0,73,BRETT DAVIS,79,79.25,88,86,79,79,88,77,88,77,87,77,75,77,75,75,75,79,76,89,74,75,76,76,64,84,2767,G308,
BA,Canada,PRO,,$0.6M,C,LEFT,189.0,74,BRETT HARRISON,76,75.85,86,82,74,75,86,74,83,75,83,79,72,74,76,75,72,72,70,84,72,70,67,72,81,84,3064,G309,
BA,Canada,VGK,Pacific,$0.6M,C,LEFT,201.0,74,BRETT HOWDEN,76,76.15,82,76,79,73,83,73,79,74,79,73,73,74,72,72,78,79,78,77,67,73,76,77,75,72,1666,G310,"3679,4516"
FACE,Canada,VGK,Pacific,$2.0M,C,LEFT,201.0,74,BRETT HOWDEN,81,81.85,85,82,85,79,86,79,85,80,85,79,79,80,78,78,84,85,84,83,73,79,82,83,81,78,3679,G310,"1666,4516"
COM,Canada,VGK,Pacific,$6.0M,C,LEFT,201.0,74,BRETT HOWDEN,85,85.65,87,86,89,83,88,83,89,84,89,83,83,84,82,82,88,89,88,87,77,83,86,87,85,82,4516,G310,"1666,3679"
ALUM,USA,STL,,$5.0M,RW,RIGHT,205.0,71,BRETT HULL,84,85.10,83,82,85,84,83,93,93,94,94,84,94,86,84,87,79,82,75,89,48,81,78,81,71,82,2172,G311,
BA,Canada,EDM,Pacific,$0.9M,LD,LEFT,192.0,74,BRETT KULAK,79,79.40,84,82,82,79,84,72,82,72,82,78,76,72,78,77,82,82,80,80,62,80,82,82,50,75,1236,G312,4671
GM,Canada,EDM,Pacific,$6.0M,LD,LEFT,192.0,74,BRETT KULAK,85,85.10,87,88,88,85,87,78,88,78,88,84,82,78,84,83,88,88,86,86,68,86,88,88,56,81,4671,G312,1236
BA,USA,NJD,Metropolitan,$0.8M,RD,RIGHT,206.0,75,BRETT PESCE,78,78.00,82,77,80,78,82,71,80,72,80,75,73,69,76,76,79,81,79,77,57,84,82,84,52,75,1375,G313,4169
GB,USA,NJD,Metropolitan,$5.0M,RD,RIGHT,206.0,75,BRETT PESCE,84,83.70,85,83,86,84,85,77,86,78,86,81,79,75,82,82,85,87,85,83,63,90,88,90,58,81,4169,G313,1375
BA,Canada,RFD,,$0.7M,LW,LEFT,156.0,69,BRETT SENEY,77,77.65,85,81,76,75,85,74,81,75,81,84,76,79,77,77,74,76,76,79,64,71,74,76,66,86,3096,G314,
ALUM,Canada,MIN,,$5.0M,LW,RIGHT,210.0,71,BRIAN BELLOWS,84,84.45,84,83,86,82,84,87,85,87,85,82,91,85,86,85,85,86,84,64,72,83,79,80,75,69,1981,G315,
ALUM,Canada,TBL,,$2.0M,C,RIGHT,180.0,70,BRIAN BRADLEY,81,81.45,83,80,82,82,83,81,83,80,85,76,85,79,84,79,83,83,80,77,72,83,80,78,88,67,2190,G316,
ALUM,Canada,FLA,,$2.0M,LD,LEFT,192.0,70,BRIAN CAMPBELL,81,80.80,83,83,80,80,85,79,81,82,81,80,84,80,83,82,81,80,78,80,62,81,75,78,50,85,1933,G317,"2578,2579,2580,2581,2582,2596,2615"
HRS,Canada,FLA,,$8.0M,LD,LEFT,192.0,70,BRIAN CAMPBELL,87,87.40,86,90,87,87,88,86,88,89,88,87,91,87,90,89,88,87,85,87,69,88,82,85,57,92,2578,G317,"1933,2579,2580,2581,2582,2596,2615"
HRS,Canada,FLA,,$6.0M,LD,LEFT,192.0,70,BRIAN CAMPBELL,85,85.50,85,88,85,85,87,84,86,87,86,85,89,85,88,87,86,85,83,85,67,86,80,83,55,90,2579,G317,"1933,2578,2580,2581,2582,2596,2615"
HRS,Canada,FLA,,$5.0M,LD,LEFT,192.0,70,BRIAN CAMPBELL,84,83.60,84,86,83,83,86,82,84,85,84,83,87,83,86,85,84,83,81,83,65,84,78,81,53,88,2580,G317,"1933,2578,2579,2581,2582,2596,2615"
HRS,Canada,FLA,,$4.0M,LD,LEFT,192.0,70,BRIAN CAMPBELL,83,82.70,84,85,82,82,86,81,83,84,83,82,86,82,85,84,83,82,80,82,64,83,77,80,52,87,2581,G317,"1933,2578,2579,2580,2582,2596,2615"
HRS,Canada,FLA,,$3.0M,LD,LEFT,192.0,70,BRIAN CAMPBELL,82,81.70,83,84,81,81,85,80,82,83,82,81,85,81,84,83,82,81,79,81,63,82,76,79,51,86,2582,G317,"1933,2578,2579,2580,2581,2596,2615"
HRS,Canada,FLA,Atlantic,$3.0M,LD,LEFT,192.0,70,BRIAN CAMPBELL,82,81.70,83,84,81,81,85,80,82,83,82,81,85,81,84,83,82,81,79,81,63,82,76,79,51,86,2596,G317,"1933,2578,2579,2580,2581,2582,2615"
HRS,Canada,FLA,Atlantic,$3.0M,LD,LEFT,192.0,70,BRIAN CAMPBELL,82,81.70,83,84,81,81,85,80,82,83,82,81,85,81,84,83,82,81,79,81,63,82,76,79,51,86,2615,G317,"1933,2578,2579,2580,2581,2582,2596"
BA,USA,VLH,,$0.7M,LD,LEFT,196.0,70,BRIAN COOPER,77,76.65,85,82,81,75,84,70,82,71,81,67,72,69,73,72,79,81,79,84,66,77,78,75,59,74,3625,G318,
BA,USA,LAK,Pacific,$0.6M,LD,LEFT,214.0,76,BRIAN DUMOULIN,76,75.85,81,76,79,76,81,68,79,69,79,71,70,68,75,74,79,79,77,79,67,78,79,79,47,77,1288,G319,4611
GM,USA,LAK,Pacific,$5.0M,LD,LEFT,214.0,76,BRIAN DUMOULIN,84,83.45,85,84,87,84,85,76,87,77,87,79,78,76,83,82,87,87,85,87,75,86,87,87,55,85,4611,G319,1288
ALUM,Canada,WSH,,$0.6M,LD,LEFT,200.0,74,BRIAN ENGBLOM,76,76.55,80,75,80,80,80,71,80,71,80,69,74,72,76,74,77,78,77,72,73,82,77,78,42,67,2280,G320,
ALUM,USA,NJD,,$0.9M,RW,RIGHT,178.0,79,BRIAN GIONTA,79,79.30,84,82,77,83,84,79,79,83,79,79,83,81,80,79,71,75,74,79,64,81,75,78,68,79,2053,G321,
BA,USA,UTI,,$0.7M,LW,RIGHT,207.0,72,BRIAN HALONEN,77,77.45,84,80,83,73,84,72,82,73,81,75,68,74,74,73,82,83,83,81,73,70,74,81,66,71,3230,G322,
ALUM,USA,NYR,,$5.0M,LD,LEFT,190.0,73,BRIAN LEETCH,84,83.55,84,82,85,81,85,86,84,84,86,80,90,83,89,87,80,84,69,79,57,88,82,82,53,56,2077,G323,4455
CHEL,USA,NYR,,$6.0M,LD,LEFT,190.0,73,BRIAN LEETCH,85,84.50,85,83,86,82,85,87,85,85,87,81,91,84,90,88,81,85,70,80,58,89,83,83,54,57,4455,G323,2077
ALUM,Canada,MIN,,$0.7M,LW,LEFT,220.0,75,BRIAN MACLELLAN,77,77.05,81,78,81,76,81,73,79,73,78,77,74,77,75,73,80,81,78,81,67,76,77,73,73,81,1993,G324,
ALUM,Canada,CGY,,$0.5M,RW,RIGHT,235.0,76,BRIAN MCGRATTAN,75,74.75,78,65,83,76,78,72,78,72,78,63,71,66,73,70,82,85,88,77,83,73,75,69,58,73,1786,G325,
ALUM,USA,WPG,,$0.9M,RW,LEFT,180.0,70,BRIAN MULLEN,79,79.30,83,78,82,77,83,78,82,78,82,75,83,76,78,78,76,80,74,69,71,82,79,82,72,54,2288,G326,
BA,USA,LHF,,$0.7M,RW,RIGHT,165.0,68,BRIAN O&apos;NEILL,77,78.10,83,77,81,81,80,79,79,77,77,79,81,79,77,75,77,76,79,77,69,76,74,75,49,69,3501,G327,
BA,USA,CHA,,$0.6M,C,RIGHT,186.0,73,BRIAN PINHO,76,76.95,83,79,81,75,83,72,82,72,81,79,72,76,73,72,77,81,79,81,61,70,74,78,78,76,2797,G328,
ALUM,Canada,PHI,,$2.0M,LW,LEFT,195.0,70,BRIAN PROPP,81,81.00,83,81,81,80,83,81,83,81,83,79,82,79,82,80,82,83,76,66,64,81,82,78,68,66,2112,G329,
BA,Canada,OTT,,$4.0M,C,RIGHT,157.0,69,BRIANNE JENNER,83,83.10,88,84,85,81,88,82,74,84,74,83,86,83,86,84,85,85,84,85,42,85,78,83,87,81,2369,G330,4354
CCAP,Canada,OTT,,$9.0M,C,RIGHT,157.0,69,BRIANNE JENNER,88,88.25,91,89,90,86,90,87,86,89,88,87,90,87,90,88,89,89,88,89,47,90,83,88,92,86,4354,G330,2369
BA,USA,MIN,,$0.7M,C,LEFT,159.0,69,BRITTA CURL,77,76.80,84,80,76,74,81,72,71,73,72,79,81,77,81,77,78,76,79,77,42,81,70,74,76,83,2322,G331,
BA,USA,LHC,,$0.9M,LW,LEFT,170.0,69,BROC LITTLE,79,79.75,86,78,79,79,86,79,86,80,85,76,84,81,81,81,74,76,77,75,67,79,72,76,72,77,3466,G332,
BA,USA,VAN,Pacific,$3.01M,RW,RIGHT,208.0,73,BROCK BOESER,82,82.40,82,84,82,82,86,84,85,84,86,84,83,84,83,84,79,82,79,80,59,80,75,80,65,80,1621,G333,3313
MARQ,USA,VAN,Pacific,$5.0M,RW,RIGHT,208.0,73,BROCK BOESER,84,84.30,83,86,84,84,87,86,87,86,88,86,85,86,85,86,81,84,81,82,61,82,77,82,67,82,3313,G333,1621
FI,USA,MIN,Central,$5.0M,RD,RIGHT,200.0,73,BROCK FABER,84,84.50,88,86,83,82,91,79,85,81,85,86,84,81,85,84,83,83,83,83,66,87,86,88,58,83,1055,G334,"1296,4543"
BA,USA,MIN,Central,$3.0M,RD,RIGHT,200.0,73,BROCK FABER,82,82.65,87,84,81,81,90,77,83,79,83,84,82,79,83,82,81,81,81,81,66,85,84,86,56,81,1296,G334,"1055,4543"
NG,USA,MIN,Central,$10.0M,RD,RIGHT,200.0,73,BROCK FABER,89,89.25,90,91,88,88,93,84,90,86,90,91,89,86,90,89,88,88,88,88,73,92,91,93,63,88,4543,G334,"1055,1296"
BA,USA,COL,Central,$1.0M,C,LEFT,205.0,76,BROCK NELSON,80,80.05,85,80,82,78,83,80,82,83,81,78,80,80,80,80,73,82,78,83,72,81,73,82,76,68,1154,G335,"3656,4504"
CHEL,USA,COL,Central,$3.0M,C,LEFT,205.0,76,BROCK NELSON,82,81.95,86,82,84,80,84,82,84,85,83,80,82,82,82,82,75,84,80,85,74,83,75,84,78,70,3656,G335,"1154,4504"
COM,USA,COL,Central,$6.0M,C,LEFT,205.0,76,BROCK NELSON,85,84.75,87,85,87,83,85,85,87,88,86,83,85,85,85,85,78,87,83,88,77,86,78,87,81,73,4504,G335,"1154,3656"
BA,Canada,OTT,,$0.6M,LD,LEFT,152.0,66,BROOKE HOBSON,76,76.50,80,76,79,80,79,73,74,73,76,74,78,76,81,74,79,75,77,79,44,77,76,73,44,78,2365,G336,4328
MARQ,Canada,OTT,,$5.0M,LD,LEFT,152.0,66,BROOKE HOBSON,84,84.50,88,84,87,88,87,81,82,81,84,82,86,84,89,82,87,83,85,87,52,85,84,81,52,86,4328,G336,2365
BA,Canada,VAN,,$0.6M,LW,LEFT,139.0,68,BROOKE MCQUIGGE,76,76.90,85,78,79,73,81,72,75,74,70,78,74,77,74,74,80,81,81,76,46,75,77,80,71,75,2401,G337,4463
FANT,Canada,VAN,,$9.0M,LW,LEFT,139.0,68,BROOKE MCQUIGGE,88,88.65,91,90,91,85,87,85,87,87,87,90,86,89,86,86,92,93,93,88,58,87,89,92,83,87,4463,G337,2401
BA,Canada,PRO,,$0.8M,LW,LEFT,174.0,72,BROOKLYN KALMIKOV,78,78.65,89,87,78,82,89,77,89,77,88,78,71,77,75,75,73,75,75,90,73,71,72,75,68,95,3053,G338,
ALUM,USA,PIT,,$3.0M,LD,LEFT,217.0,75,BROOKS ORPIK,82,81.10,81,78,91,82,83,80,83,79,82,67,79,67,81,80,84,85,87,85,75,86,87,80,52,77,2134,G339,
ALUM,Canada,FLA,,$0.6M,LD,LEFT,224.0,77,BRYAN ALLEN,76,76.00,76,71,83,73,76,72,79,72,77,68,71,72,75,73,79,83,79,77,77,79,83,79,53,65,1949,G340,
ALUM,USA,CBJ,,$0.8M,LD,LEFT,220.0,74,BRYAN BERARD,78,78.45,80,77,81,78,81,75,80,77,81,70,82,75,81,79,79,80,79,70,62,81,75,78,55,76,1846,G341,
ALUM,Canada,SJS,,$0.6M,LD,LEFT,200.0,73,BRYAN MARCHMENT,76,75.55,77,76,79,74,79,68,78,66,78,68,73,66,71,71,85,82,82,73,77,79,80,79,48,73,2168,G342,
ALUM,Canada,TOR,,$0.9M,LD,LEFT,223.0,74,BRYAN MCCABE,79,79.65,80,78,83,79,82,76,85,76,84,73,84,72,80,78,81,83,79,74,67,81,82,77,45,61,2203,G343,
BA,USA,PIT,Metropolitan,$2.0M,RW,RIGHT,198.0,71,BRYAN RUST,81,81.75,85,84,81,81,85,82,82,82,82,83,83,82,83,83,79,80,79,80,62,81,76,82,60,82,1469,G344,
TOTW,USA,PIT,Metropolitan,$4.0M,RW,RIGHT,202.0,71,BRYAN RUST,83,84.10,87,86,83,88,87,84,84,84,84,85,85,84,85,85,81,82,81,82,80,83,80,84,62,84,4086,G345,4486
COM,USA,PIT,Metropolitan,$7.0M,RW,RIGHT,202.0,71,BRYAN RUST,86,86.55,88,89,86,86,88,87,87,87,87,88,88,87,88,88,84,85,84,85,67,86,81,87,65,87,4486,G345,4086
ALUM,Canada,NYI,,$5.0M,C,LEFT,195.0,71,BRYAN TROTTIER,84,84.30,86,84,82,81,86,89,85,89,85,88,90,86,89,86,75,83,74,84,67,83,84,81,89,61,2063,G346,
BA,USA,COL,,$0.6M,RD,RIGHT,172.0,73,Bryan Yoon,76,76.75,86,82,80,76,86,64,84,66,84,80,68,70,71,70,78,80,80,85,65,71,81,78,60,80,2868,G347,
BA,Canada,HFD,,$0.7M,C,LEFT,186.0,73,BRYCE MCCONNELL-BARKER,77,77.15,83,80,80,80,83,74,82,75,82,76,72,74,75,74,79,77,79,84,71,72,68,78,81,79,2895,G348,
BA,USA,CHI,,$0.6M,RD,RIGHT,216.0,76,BRYCE MONTGOMERY,76,75.85,84,80,84,74,85,68,85,68,84,68,65,66,67,67,81,80,80,85,78,73,80,78,50,80,2810,G349,
NG,Canada,MH,,$3.0M,RD,RIGHT,186.0,73,BRYCE PICKFORD,82,82.90,83,83,84,82,82,84,83,84,83,84,83,81,85,83,83,80,84,87,77,78,82,87,59,80,4214,G350,
ALUM,Canada,NJD,,$0.6M,LD,LEFT,215.0,75,BRYCE SALVADOR,76,76.65,79,77,82,79,79,63,81,66,81,66,75,70,75,75,81,82,80,79,72,80,81,81,51,73,2060,G351,
ALUM,Canada,NYI,,$0.9M,C,LEFT,170.0,69,BUTCH GORING,79,79.40,82,79,77,79,83,79,80,79,80,78,81,78,80,81,76,80,74,58,72,80,80,82,83,53,2068,G352,
BA,USA,MB,,$0.6M,LW,LEFT,190.0,71,C.J. SUESS,76,76.25,85,81,81,74,85,69,83,70,83,79,69,74,70,71,78,81,80,81,61,70,64,78,56,78,3016,G353,
BA,USA,TOR,,$0.6M,LD,LEFT,212.0,79,CADE WEBBER,76,76.25,79,76,78,73,83,75,77,74,79,74,75,75,76,75,68,76,80,76,52,79,75,78,50,78,3212,G354,
BA,Canada,IA,,$0.7M,C,LEFT,192.0,74,CAEDAN BANKIER,77,77.10,85,81,82,80,84,74,82,75,82,74,71,74,73,73,79,79,79,84,68,72,68,75,79,84,2950,G355,
BA,Canada,COA,,$0.7M,RD,RIGHT,204.0,73,CALE FLEURY,77,77.95,84,79,81,76,83,71,82,72,81,74,75,71,75,75,81,81,80,80,65,77,81,80,55,75,2837,G356,
ALUM,Canada,NSH,,$0.5M,RD,RIGHT,220.0,75,CALE HULSE,75,74.80,78,74,79,72,79,71,78,71,78,68,74,69,74,74,78,78,72,74,72,77,76,76,44,76,2043,G357,
BA,Canada,COL,Central,$5.0M,RD,RIGHT,187.0,72,CALE MAKAR,84,84.65,90,90,80,81,90,80,84,83,84,89,90,85,89,89,77,80,78,78,56,86,81,87,53,78,1146,G358,"3749,4593"
ROOK,Canada,COL,Central,$7.0M,RD,RIGHT,187.0,72,CALE MAKAR,86,86.55,91,92,82,83,91,82,86,85,86,91,92,87,91,91,79,82,80,80,58,88,83,89,55,80,3749,G358,"1146,4593"
GM,Canada,COL,Central,$10.0M,RD,RIGHT,187.0,72,CALE MAKAR,89,89.35,92,95,85,86,92,85,89,88,89,94,95,90,94,94,82,85,83,83,61,91,86,92,58,83,4593,G358,"1146,3749"
BA,Canada,MON,,$0.9M,C,LEFT,170.0,74,CALEB DESNOYERS,79,79.70,85,86,76,79,85,75,85,79,85,84,86,83,83,83,71,75,71,86,66,78,66,79,78,81,3661,G359,
BA,USA,WBS,,$0.6M,LD,LEFT,194.0,73,CALEB JONES,76,77.35,83,80,80,76,84,69,82,70,82,76,72,72,75,74,80,80,80,80,65,73,80,79,50,75,3257,G360,
BA,Canada,UTI,,$0.7M,RD,RIGHT,173.0,71,CALEN ADDISON,77,77.85,85,81,77,76,85,72,81,74,81,80,76,77,77,77,77,78,76,80,62,75,75,77,55,75,3229,G361,
