card,nationality,team,division,salary,position,hand,weight_lb,height_in,name,overall,aOVR,acceleration,agility,balance,endurance,speed,slap_shot_accuracy,slap_shot_power,wrist_shot_accuracy,wrist_shot_power,deking,offensive_awareness,hand_eye,passing,puck_control,body_checking,strength,aggression,durability,fighting_skill,defensive_awareness,shot_blocking,stick_checking,faceoffs,discipline,card_api_id
FACE,Canada,EDM,Pacific,$5.0M,LD,LEFT,215.0,76,DARNELL NURSE,84,84.75,86,85,88,85,86,78,86,81,86,81,82,80,85,84,88,88,86,83,76,84,88,88,53,73,3673
ALUM,Canada,CAR,,$0.5M,LW,LEFT,206.0,73,DARREN LANGDON,75,75.00,76,73,83,71,76,70,81,70,79,64,77,68,70,70,84,83,84,69,82,74,73,74,54,78,1800
ALUM,Canada,DET,,$0.7M,RW,RIGHT,210.0,73,DARREN MCCARTY,77,77.30,78,74,81,76,81,69,79,69,79,74,78,71,74,73,84,85,87,77,81,77,80,77,59,79,1883
CHEL,Canada,DET,,$6.0M,RW,RIGHT,210.0,73,DARREN MCCARTY,85,86.10,86,83,90,85,87,78,88,78,88,83,87,80,83,82,93,94,96,86,90,86,89,86,68,88,4457
BA,Canada,TBL,Atlantic,$2.0M,RD,RIGHT,202.0,73,DARREN RADDYSH,81,80.90,83,81,83,82,83,74,89,75,85,77,78,74,80,79,81,85,81,81,67,82,82,84,51,76,1564
MARQ,Canada,TBL,Atlantic,$4.0M,RD,RIGHT,202.0,73,DARREN RADDYSH,83,82.80,84,83,85,84,84,76,91,77,87,79,80,76,82,81,83,87,83,83,69,84,84,86,53,78,3420
GM,Canada,TBL,Atlantic,$9.0M,RD,RIGHT,202.0,73,DARREN RADDYSH,88,88.50,87,89,91,90,87,82,97,83,93,85,86,82,88,87,89,93,89,89,75,90,90,92,59,84,4629
ALUM,USA,HFD,,$0.8M,C,LEFT,190.0,72,DARREN TURCOTTE,78,78.15,81,78,78,76,83,73,78,75,78,73,78,75,77,77,80,81,80,63,72,79,81,82,80,63,1960
ALUM,Canada,TOR,,$3.0M,C,LEFT,190.0,72,DARRYL SITTLER,82,82.90,82,82,84,80,83,86,88,87,86,83,86,84,81,83,81,81,84,81,77,81,77,79,68,64,2258
HUTC,Canada,TOR,,$9.0M,C,LEFT,190.0,72,DARRYL SITTLER,88,88.60,85,88,90,86,86,92,94,93,92,89,92,90,87,89,87,87,90,87,83,87,83,85,74,70,4646
HUTC,Canada,TOR,,$10.0M,C,LEFT,190.0,72,DARRYL SITTLER,89,89.50,85,89,91,87,86,93,95,94,93,90,93,91,88,90,88,88,91,88,84,88,84,86,75,71,4647
ALUM,Canada,CHI,,$0.9M,LW,LEFT,175.0,71,DARRYL SUTTER,79,78.85,81,79,80,79,81,76,80,76,80,79,77,78,79,77,79,79,79,70,72,82,75,81,70,75,1815
BA,Canada,TOR,,$0.9M,C,LEFT,137.0,66,DARYL WATTS,79,79.35,84,80,80,77,84,77,80,79,76,81,81,81,80,77,78,79,79,81,42,80,76,78,82,83,2376
FANT,Canada,TOR,,$7.0M,C,LEFT,137.0,66,DARYL WATTS,86,86.50,88,87,87,86,88,86,87,87,87,88,88,88,87,84,85,86,86,88,49,87,83,85,89,90,4466
ALUM,Canada,TBL,,$3.0M,LW,RIGHT,225.0,76,DAVE ANDREYCHUK,82,81.90,81,80,85,80,79,83,84,83,83,82,85,91,84,83,80,85,82,80,72,80,73,75,65,79,2188
ALUM,Canada,VAN,,$0.7M,LD,LEFT,225.0,74,DAVE BABYCH,77,77.10,80,77,84,76,80,79,81,77,78,67,76,72,72,73,78,82,76,72,72,78,78,78,42,57,2220
MARQ,Canada,HFD,,$6.0M,LD,LEFT,225.0,74,DAVE BABYCH,85,85.00,87,85,92,84,87,87,89,85,86,75,84,80,80,81,86,90,84,80,80,86,86,86,50,65,3884
ALUM,Canada,WPG,,$1.0M,LD,LEFT,205.0,74,DAVE ELLETT,80,80.15,82,79,83,81,82,76,83,76,83,77,79,77,79,79,82,82,81,83,76,82,80,80,42,75,2243
ALUM,Canada,EDM,,$0.9M,LW,LEFT,201.0,72,DAVE HUNTER,79,79.10,82,80,81,83,82,76,81,76,81,74,78,78,78,76,81,81,81,76,74,80,78,75,74,76,1914
ALUM,Canada,TOR,,$4.0M,C,LEFT,165.0,69,DAVE KEON,83,83.00,83,83,80,83,83,81,84,81,84,81,85,81,87,88,82,84,80,84,76,84,85,81,89,73,2197
ALUM,USA,NYI,,$0.5M,LD,LEFT,200.0,74,DAVE LANGEVIN,75,74.70,79,73,78,70,79,71,78,71,77,70,69,70,70,70,79,77,77,73,72,78,80,78,42,67,2076
ALUM,Canada,EDM,,$0.9M,RW,RIGHT,185.0,70,DAVE LUMLEY,79,79.35,82,76,80,79,82,78,82,78,82,77,80,78,80,80,78,80,76,71,70,80,81,78,74,56,1913
ALUM,Canada,PHI,,$0.7M,LW,LEFT,185.0,73,DAVE SCHULTZ,77,77.10,79,78,80,76,80,75,81,75,79,72,73,73,77,73,82,82,79,75,79,78,78,72,63,58,2122
ALUM,Canada,LAK,,$3.0M,RW,RIGHT,194.0,72,DAVE TAYLOR,82,82.50,83,82,82,81,83,83,85,83,85,80,87,81,83,83,79,82,81,77,71,83,82,82,72,72,1969
ALUM,USA,STL,,$2.0M,C,RIGHT,216.0,75,DAVID BACKES,81,81.15,82,75,84,81,83,80,83,79,84,78,80,80,79,80,83,84,82,86,72,84,80,82,86,64,2227
BA,Sweden,LHC,,$0.7M,LD,LEFT,209.0,76,DAVID BERNHARDT,77,76.65,82,79,76,77,82,69,81,72,80,78,74,78,76,76,70,80,74,72,66,78,73,78,59,73,3474
BA,Sweden,DIF,,$0.6M,RW,LEFT,176.0,72,DAVID BLOMGREN,76,76.45,90,86,72,80,90,71,86,72,86,74,75,74,73,73,71,72,70,91,68,75,66,73,76,91,3357
ALUM,USA,FLA,,$1.0M,LW,LEFT,212.0,72,DAVID BOOTH,80,80.45,85,81,81,79,86,78,81,78,82,81,83,80,81,84,76,82,80,66,67,81,76,74,56,81,1934
BA,Sweden,FHC,,$0.6M,C,LEFT,187.0,75,DAVID EDSTROM,76,76.35,85,81,82,77,85,72,84,73,84,72,73,71,73,73,68,82,73,83,80,73,68,78,70,73,3379
BA,Canada,COA,,$0.6M,C,LEFT,172.0,70,DAVID GOYETTE,76,77.40,86,83,71,78,85,79,83,79,83,79,77,79,79,79,70,67,71,84,64,72,69,79,80,79,2844
BA,Sweden,LHF,,$0.6M,C,LEFT,185.0,73,DAVID GRANBERG,76,76.00,84,87,76,79,84,72,87,76,87,75,72,70,72,72,76,71,70,90,65,73,65,72,72,85,3507
BA,Sweden,WPG,Central,$0.5M,C,LEFT,196.0,74,DAVID GUSTAFSSON,75,74.95,80,74,80,73,82,70,80,72,80,71,70,71,71,70,79,80,79,77,77,70,70,77,79,67,1712
BA,Czechia,IA,,$1.0M,RD,RIGHT,207.0,76,DAVID JIRICEK,80,80.10,84,80,82,80,84,76,83,76,82,77,76,75,80,79,82,82,82,75,70,79,82,81,57,75,2946
NG,Czechia,MIN,Central,$3.0M,RD,RIGHT,204.0,76,DAVID JIRICEK,82,82.00,85,82,84,82,85,78,85,78,84,79,78,77,82,81,84,84,84,77,72,81,84,83,59,77,4195
CHEL,Czechia,CZ,,$7.0M,RD,RIGHT,204.0,76,DAVID JIRICEK,86,86.10,90,86,88,86,90,82,89,82,88,83,82,81,86,85,88,88,88,81,76,85,88,87,63,81,4709
ALUM,Canada,COL,,$0.7M,RW,RIGHT,210.0,75,DAVID JONES,77,77.05,82,78,79,79,81,75,79,76,78,76,76,76,76,76,75,79,73,73,67,75,75,77,53,83,1835
BA,Czechia,TOR,Atlantic,$0.6M,C,LEFT,193.0,74,DAVID KAMPF,76,76.05,81,77,76,73,81,75,78,76,78,76,75,75,75,75,75,76,75,75,57,76,71,77,79,76,1589
TRAN,Czechia,VAN,Pacific,$4.0M,C,LEFT,193.0,74,DAVID KAMPF,83,82.65,84,84,83,80,84,82,85,83,85,83,82,82,82,82,82,83,82,82,64,83,78,84,86,83,4276
BA,Sweden,TIM,,$0.6M,C,LEFT,172.0,71,DAVID LILJA,76,76.60,88,84,81,75,89,71,89,72,88,72,72,71,72,72,76,73,72,81,69,71,69,75,78,96,3616
BA,Czechia,BOS,Atlantic,$5.0M,RW,RIGHT,200.0,72,DAVID PASTRNAK,84,84.45,88,85,81,84,88,90,85,91,88,89,89,89,89,89,74,79,74,79,57,82,74,81,59,77,1022
CMG,Czechia,BOS,Atlantic,$6.0M,RW,RIGHT,200.0,72,DAVID PASTRNAK,85,85.70,89,86,82,90,89,91,86,92,89,90,90,90,90,90,75,80,75,80,57,83,75,82,60,78,2558
MILE,Czechia,BOS,Atlantic,$8.0M,RW,RIGHT,199.0,72,DAVID PASTRNAK,87,87.25,89,88,84,87,89,93,88,94,91,92,92,92,92,92,77,82,77,82,60,85,77,84,62,80,4432
BA,Canada,OTT,Atlantic,$0.8M,LW,RIGHT,198.0,72,DAVID PERRON,78,78.30,81,77,80,81,81,77,80,77,80,77,78,77,78,78,77,80,77,67,67,78,72,80,57,72,1441
MARQ,Canada,OTT,Atlantic,$1.0M,LW,RIGHT,198.0,72,DAVID PERRON,80,80.20,82,79,82,83,82,79,82,79,82,79,80,79,80,80,79,82,79,69,69,80,74,82,59,74,3308
BA,Canada,ÖRE,,$0.7M,RD,RIGHT,190.0,68,DAVID QUENNEVILLE,77,76.80,85,81,81,75,85,69,83,70,84,77,70,69,73,71,79,80,74,84,59,71,79,80,54,84,3545
NG,Austria,MTL,Atlantic,$8.0M,RD,RIGHT,209.0,75,DAVID REINBACHER,87,86.50,90,91,91,91,90,79,93,82,93,84,86,81,85,83,82,91,81,92,77,87,84,86,57,87,4237
BA,Czechia,IA,,$0.7M,RD,RIGHT,174.0,72,DAVID SPACEK,77,77.10,84,80,82,78,82,66,83,67,83,78,70,70,73,72,79,81,82,84,68,74,79,79,49,79,2954
BA,Czechia,FBK,,$0.6M,C,RIGHT,185.0,74,DAVID TOMASEK,76,76.35,82,78,78,73,82,71,81,75,81,74,80,76,79,76,72,78,71,73,62,74,69,77,82,74,3405
GB,Czechia,EDM,Pacific,$3.0M,C,RIGHT,185.0,74,DAVID TOMASEK,82,82.05,85,84,84,79,85,77,87,81,87,80,86,82,85,82,78,84,77,79,68,80,75,83,88,80,3784
BA,Canada,MB,,$0.6M,RD,RIGHT,185.0,73,DAWSON BARTEAUX,76,76.55,86,81,83,75,86,66,84,67,84,69,66,65,69,70,82,83,82,84,68,70,83,80,49,81,3011
BA,Canada,NJD,Metropolitan,$0.9M,RW,RIGHT,180.0,72,DAWSON MERCER,79,79.25,87,83,78,77,88,79,82,80,82,84,79,80,80,80,71,78,74,79,60,74,69,80,59,77,1372
MARQ,Canada,NJD,Metropolitan,$3.0M,RW,RIGHT,180.0,72,DAWSON MERCER,82,82.05,88,86,81,80,89,82,85,83,85,87,82,83,83,83,74,81,77,82,63,77,72,83,62,80,2685
TOTW,Canada,NJD,Metropolitan,$4.0M,RW,RIGHT,180.0,72,DAWSON MERCER,83,83.85,89,87,82,81,90,83,86,84,86,88,83,84,84,84,80,82,80,83,80,80,80,84,63,81,4087
NG,Canada,PA,,$5.0M,RD,RIGHT,202.0,74,DAXON RUDOLPH,84,84.70,87,92,83,83,86,83,85,84,85,83,84,82,86,85,84,84,84,85,74,84,84,86,59,84,4249
BA,Canada,BRI,,$0.6M,LW,LEFT,195.0,74,DAYLAN KUEFLER,76,76.40,84,80,84,79,84,67,84,69,84,72,66,70,70,70,82,85,85,85,75,66,68,79,65,70,2760
ALUM,Canada,MIN,,$0.8M,LW,LEFT,180.0,71,DEAN PRENTICE,78,78.85,82,79,78,80,82,78,80,79,81,79,81,78,80,78,77,78,76,77,62,78,77,76,52,77,1991
BA,USA,SYR,,$0.5M,LD,LEFT,185.0,73,DECLAN CARLILE,75,75.45,83,78,81,75,84,66,81,66,81,71,67,68,71,69,76,81,76,81,66,73,81,81,56,76,3175
BA,Canada,WSH,Metropolitan,$0.5M,RD,LEFT,190.0,73,DECLAN CHISHOLM,75,75.05,81,78,78,72,81,68,79,69,78,73,74,70,73,73,73,78,73,78,62,75,78,77,48,76,1685
BA,Canada,CHI,,$1.0M,C,RIGHT,170.0,71,DENI GOURE,80,80.40,86,88,77,80,84,81,88,82,88,85,82,82,83,81,73,78,72,90,68,73,68,77,85,90,2803
MARQ,Switzerland,ZL,,$6.0M,RW,RIGHT,182.0,69,DENIS MALGIN,85,84.50,90,88,83,83,90,83,86,84,88,88,87,87,87,82,78,83,78,86,68,86,78,81,76,91,3284
ALUM,Canada,NYI,,$6.0M,LD,LEFT,205.0,72,DENIS POTVIN,85,85.20,84,85,81,87,88,86,88,86,88,82,92,83,90,87,82,85,78,82,68,86,84,82,61,71,2062
HUTC,Canada,NYI,Metropolitan,$7.0M,LD,LEFT,205.0,72,DENIS POTVIN,86,86.15,85,86,82,88,88,87,89,87,89,83,93,84,91,88,83,86,79,83,69,87,85,83,62,72,3993
ALUM,Canada,CHI,,$3.0M,C,RIGHT,175.0,70,DENIS SAVARD,82,82.15,84,88,79,82,88,83,82,84,83,87,86,84,84,89,73,81,72,74,68,80,76,78,89,74,1806
HRS,Canada,CHI,,$9.0M,C,RIGHT,175.0,82,DENIS SAVARD,88,88.95,89,90,85,88,88,89,88,90,89,93,92,90,90,95,86,87,85,88,74,87,88,90,95,80,4375
HRS,Canada,CHI,,$7.0M,C,RIGHT,175.0,70,DENIS SAVARD,86,86.95,87,88,83,86,86,87,86,88,87,91,90,88,88,93,84,85,83,86,72,85,86,88,93,78,4378
HRS,Canada,CHI,,$6.0M,C,RIGHT,175.0,70,DENIS SAVARD,85,86.05,87,87,82,85,86,86,85,87,86,90,89,87,87,92,83,84,82,85,71,84,85,87,92,77,4382
HRS,Canada,CHI,,$5.0M,C,RIGHT,175.0,70,DENIS SAVARD,84,85.05,86,86,81,84,85,85,84,86,85,89,88,86,86,91,82,83,81,84,70,83,84,86,91,76,4386
HRS,Canada,CHI,,$4.0M,C,RIGHT,175.0,70,DENIS SAVARD,83,84.15,86,85,80,83,85,84,83,85,84,88,87,85,85,90,81,82,80,83,69,82,83,85,90,75,4393
HRS,Canada,CHI,,$4.0M,C,RIGHT,175.0,70,DENIS SAVARD,83,84.15,86,85,80,83,85,84,83,85,84,88,87,85,85,90,81,82,80,83,69,82,83,85,90,75,4394
HRS,Canada,CHI,,$4.0M,C,RIGHT,175.0,70,DENIS SAVARD,83,84.15,86,85,80,83,85,84,83,85,84,88,87,85,85,90,81,82,80,83,69,82,83,85,90,75,4395
BA,USA,CHA,,$0.6M,RD,RIGHT,188.0,69,DENNIS CESANA,76,77.25,90,86,79,78,88,68,83,65,82,82,66,68,75,71,79,76,79,84,78,70,80,80,59,79,2795
BA,Canada,NJD,Metropolitan,$0.5M,LD,LEFT,210.0,74,DENNIS CHOLOWSKI,75,75.60,80,77,79,73,80,67,82,68,81,76,71,72,72,72,77,79,79,79,62,73,77,77,49,74,1382
BA,Sweden,RBK,,$0.9M,LW,LEFT,209.0,76,DENNIS EVERBERG,79,78.95,83,76,84,83,81,70,83,72,84,79,79,80,79,79,78,85,80,72,75,78,71,75,71,77,3555
BA,USA,PHI,Metropolitan,$0.5M,LD,LEFT,216.0,74,DENNIS GILBERT,75,74.90,79,78,82,73,80,63,80,63,80,72,69,66,69,69,80,82,82,80,72,74,80,77,50,70,1463
ALUM,Canada,MIN,,$1.0M,LW,LEFT,176.0,71,DENNIS HEXTALL,80,79.70,82,79,77,80,82,75,83,80,82,82,83,76,82,81,79,81,65,67,67,81,84,80,60,70,1986
ALUM,Canada,CHI,,$0.7M,LW,LEFT,198.0,71,DENNIS HULL,77,77.70,80,77,76,79,81,75,79,76,79,79,79,79,79,76,78,78,76,67,64,76,75,77,69,47,1819
ALUM,Canada,VAN,,$0.9M,LD,LEFT,185.0,69,DENNIS KEARNS,79,79.05,81,79,82,79,81,80,82,80,83,74,76,77,77,77,79,83,78,74,76,80,79,74,44,64,2217
ALUM,Canada,MIN,,$0.8M,C,LEFT,175.0,68,DENNIS MARUK,78,78.35,81,78,78,80,81,77,79,77,79,76,81,77,79,78,78,79,74,61,62,78,78,79,85,61,1990
BA,Sweden,VLH,,$0.9M,C,LEFT,203.0,76,DENNIS RASMUSSEN,79,79.40,87,80,84,79,88,78,75,79,83,80,78,78,76,72,80,78,79,80,69,76,77,81,84,74,3619
BA,Canada,CBJ,Metropolitan,$0.7M,LD,LEFT,188.0,71,DENTON MATEYCHUK,77,77.40,82,80,77,79,82,66,82,72,82,78,79,72,79,77,75,77,76,80,62,78,77,78,50,80,1177
MARQ,Canada,CBJ,Metropolitan,$2.0M,LD,LEFT,188.0,71,DENTON MATEYCHUK,81,81.20,84,84,81,83,84,70,86,76,86,82,83,76,83,81,79,81,80,84,66,82,81,82,54,84,3414
NG,Canada,CBJ,Metropolitan,$4.0M,LD,LEFT,188.0,71,DENTON MATEYCHUK,83,83.10,85,86,83,85,85,72,88,78,88,84,85,78,85,83,81,83,82,86,68,84,83,84,56,86,4129
BA,USA,VAN,Pacific,$0.5M,LD,LEFT,216.0,76,DEREK FORBORT,75,75.20,78,76,80,73,80,66,80,68,80,68,65,68,71,70,82,81,81,78,72,76,81,80,48,68,1636
BEM,USA,VAN,Pacific,$2.0M,LD,LEFT,216.0,76,DEREK FORBORT,81,80.90,81,82,86,79,83,72,86,74,86,74,71,74,77,76,88,87,87,84,78,82,87,86,54,74,4033
ALUM,Canada,NYI,,$0.8M,LW,LEFT,200.0,72,DEREK KING,78,78.00,82,77,79,79,80,77,81,79,83,74,81,75,77,77,75,79,73,68,71,79,78,75,71,53,2071
ALUM,USA,BUF,,$1.0M,C,LEFT,180.0,71,DEREK PLANTE,80,79.35,80,81,80,80,81,77,77,77,78,77,80,78,81,77,82,82,76,81,64,83,83,77,80,69,1759
ALUM,Canada,BUF,,$2.0M,C,LEFT,184.0,69,DEREK ROY,81,81.40,85,83,82,79,85,82,80,82,85,82,84,83,85,82,77,79,78,81,62,81,77,77,84,77,1758
BA,Canada,HFD,,$0.7M,LD,LEFT,204.0,73,DERRICK POULIOT,77,77.40,83,79,80,76,84,70,82,71,82,80,73,75,75,75,76,80,78,80,63,73,78,78,60,75,2898
ALUM,Canada,PIT,,$0.5M,RD,RIGHT,214.0,74,DERYK ENGELLAND,75,74.70,78,74,80,72,79,68,79,65,78,66,71,63,73,72,79,79,82,78,75,78,81,77,48,56,2146
BA,Canada,COL,Central,$4.0M,LD,LEFT,191.0,73,DEVON TOEWS,83,83.00,86,84,81,81,87,78,84,78,83,85,85,78,85,85,80,81,80,81,62,86,85,88,51,86,1150
FANT,Canada,COL,Central,$0.7M,LD,LEFT,191.0,73,DEVON TOEWS,77,77.30,83,78,75,75,84,72,78,72,77,79,79,72,79,79,74,75,74,75,56,80,79,82,45,80,2679
ALUM,Canada,TOR,,$0.7M,LW,LEFT,165.0,69,DICK DUFF,77,77.35,81,77,74,79,81,73,80,73,80,76,80,76,79,78,77,78,74,79,67,79,77,75,72,57,2209
BA,Sweden,TIM,,$0.8M,LD,LEFT,201.0,74,DIDRIK STROMBERG,78,77.75,82,77,85,81,84,68,84,69,82,74,70,75,76,76,78,85,78,77,72,77,77,77,57,72,3602
BA,Canada,RFD,,$0.8M,LW,LEFT,194.0,72,DILLON BOUCHER,78,78.65,88,86,81,75,88,72,91,73,91,72,70,72,72,72,81,81,83,94,79,72,76,77,69,74,3091
ALUM,Russia,TBL,,$0.5M,LW,RIGHT,210.0,74,DIMITRY AFANASENKOV,75,75.25,79,77,75,76,79,75,77,75,79,72,74,73,73,74,75,78,75,69,70,74,76,69,59,63,2195
BA,USA,ABB,,$0.6M,RW,RIGHT,205.0,74,DINO KAMBEITZ,76,77.30,84,80,84,80,82,67,83,70,83,79,70,71,70,71,82,83,84,84,72,69,75,79,69,76,2706
ICON,Canada,CGY,,$11.0M,LD,LEFT,225.0,75,DION PHANEUF,90,90.70,92,89,91,91,91,89,93,89,93,87,89,89,89,88,93,92,92,90,89,93,91,93,60,72,4616
BA,Canada,BEL,,$0.6M,LD,LEFT,215.0,79,DJIBRIL TOURE,76,76.55,84,81,81,80,85,65,87,66,86,68,66,68,69,68,81,79,81,86,75,74,81,81,51,86,2745
BA,Belarus,RFD,,$0.6M,LD,LEFT,188.0,70,DMITRI KUZMIN,76,76.70,85,82,74,75,84,69,83,71,83,79,72,70,78,74,74,71,79,84,68,75,78,78,54,79,3099
ALUM,Russia,ANA,,$1.0M,RD,RIGHT,227.0,76,DMITRI MIRONOV,80,80.65,82,81,77,81,83,80,84,82,84,79,83,79,83,82,78,80,77,77,62,80,78,80,57,77,1719
BA,Russia,CBJ,Metropolitan,$0.8M,LW,LEFT,227.0,77,DMITRI VORONKOV,78,78.20,81,75,82,80,82,76,81,78,81,75,76,77,76,76,79,84,80,77,60,76,72,77,62,62,1176
MARQ,Russia,CBJ,Metropolitan,$3.0M,LW,LEFT,234.0,77,DMITRI VORONKOV,82,82.00,83,79,86,84,84,80,85,82,85,79,80,81,80,80,83,88,84,81,64,80,76,81,66,66,3833
COM,Russia,CBJ,Metropolitan,$8.0M,LW,LEFT,234.0,77,DMITRI VORONKOV,87,87.70,86,85,92,90,87,86,91,88,91,85,86,87,86,86,89,94,90,87,70,86,82,87,72,72,4506
BA,Russia,FLA,Atlantic,$0.7M,LD,LEFT,212.0,73,DMITRY KULIKOV,77,77.60,80,78,80,81,80,68,82,71,81,71,76,69,76,76,79,80,79,74,67,81,82,82,49,79,1262
BA,Russia,SJS,Pacific,$0.8M,LD,LEFT,214.0,71,DMITRY ORLOV,78,77.85,81,77,79,75,83,71,80,72,80,76,79,73,78,77,79,79,79,77,57,80,79,80,47,77,1502
MARQ,Russia,SJS,Pacific,$1.0M,LD,LEFT,214.0,71,DMITRY ORLOV,80,79.75,82,79,81,77,84,73,82,74,82,78,81,75,80,79,81,81,81,79,59,82,81,82,49,79,3310
TOTW,Russia,SJS,Pacific,$4.0M,LD,LEFT,215.0,71,DMITRY ORLOV,83,82.85,84,81,83,84,86,80,83,80,84,80,82,80,82,81,85,85,83,81,61,87,83,84,51,81,3826
CAP,Russia,SJS,Pacific,$6.0M,LD,LEFT,215.0,71,DMITRY ORLOV,85,85.45,85,85,87,83,87,79,88,80,88,84,87,81,86,85,87,87,87,85,65,88,87,88,55,85,4364
BA,Russia,UTI,,$0.5M,RD,RIGHT,229.0,76,DMITRY OSIPOV,75,76.50,83,80,85,80,83,60,86,62,86,69,64,66,67,67,84,86,89,84,84,69,82,82,54,69,3243
BA,USA,CHI,,$0.6M,LD,LEFT,175.0,69,DOMENICK FENSORE,76,76.45,83,79,79,80,84,69,82,71,82,80,74,74,75,75,69,78,66,81,56,72,79,78,46,86,2817
ALUM,Canada,TBL,,$0.7M,C,LEFT,192.0,72,DOMINIC MOORE,77,76.75,80,77,77,80,81,73,78,73,78,73,78,73,75,74,78,77,76,80,67,81,77,76,85,78,2192
BA,USA,CHI,Central,$0.5M,LW,LEFT,201.0,74,DOMINIC TONINATO,75,75.40,81,77,79,75,81,72,79,72,79,72,72,72,72,72,77,79,77,77,67,72,72,76,62,72,1145
BEM,USA,CHI,Central,$2.0M,LW,LEFT,201.0,74,DOMINIC TONINATO,81,81.10,84,83,85,81,84,78,85,78,85,78,78,78,78,78,83,85,83,83,73,78,78,82,68,78,4032
BA,Czechia,MIF,,$0.9M,RD,RIGHT,183.0,75,DOMINIK BADINKA,79,78.50,89,84,79,79,87,74,86,79,86,68,71,70,72,69,77,81,79,87,75,80,78,82,52,72,3509
BA,Switzerland,FHC,,$0.7M,RD,RIGHT,170.0,68,DOMINIK EGLI,77,77.20,83,78,79,81,84,73,70,76,81,75,77,77,79,79,74,77,76,81,64,77,75,73,44,74,3371
BA,USA,GR,,$0.7M,RW,RIGHT,180.0,71,DOMINIK SHINE,77,77.10,84,80,80,74,85,73,81,73,81,77,63,74,74,74,80,80,85,81,71,73,71,80,56,66,2875
BA,USA,MIN,,$0.6M,RW,RIGHT,145.0,67,DOMINIQUE PETRIE,76,76.45,85,82,79,74,81,74,76,75,72,79,75,80,77,77,76,73,79,76,45,76,69,70,55,81,2317
BEM,USA,MIN,,$4.0M,RW,RIGHT,145.0,67,DOMINIQUE PETRIE,83,83.70,92,89,86,81,88,81,83,82,79,86,82,87,84,84,83,80,86,83,52,83,79,79,62,88,4324
ALUM,Canada,BUF,,$0.5M,C,LEFT,185.0,74,DON LUCE,75,74.60,78,70,74,76,78,73,75,74,74,76,77,73,77,75,70,76,72,72,68,76,73,75,71,74,1771
ALUM,Canada,BOS,,$1.0M,LW,LEFT,183.0,70,DON MARCOTTE,80,79.80,81,81,82,82,82,77,80,77,81,76,84,76,80,80,81,82,74,68,68,81,81,78,70,72,1740
ALUM,Canada,BUF,,$3.0M,RW,RIGHT,190.0,68,DONALD AUDETTE,82,82.00,84,83,84,82,84,80,83,80,83,81,84,81,81,81,82,81,79,82,67,83,81,83,69,82,1755
ALUM,Canada,BOS,,$0.5M,LD,LEFT,175.0,72,DONALD AWREY,75,75.20,79,74,77,76,80,72,78,72,78,69,72,69,75,72,76,77,74,62,70,79,78,77,52,68,1750
BA,Canada,BEL,,$0.6M,LD,LEFT,221.0,74,DONOVAN SEBRANGO,76,75.95,82,78,81,75,82,64,82,65,81,72,67,71,72,71,79,81,81,81,71,76,79,80,51,76,2744
TRAN,Canada,BEL,,$1.0M,LD,LEFT,221.0,74,DONOVAN SEBRANGO,80,80.65,84,83,86,80,84,69,87,70,86,77,72,76,77,76,84,86,86,86,76,81,84,85,56,81,3295
ALUM,Canada,SJS,,$0.7M,LD,LEFT,210.0,74,DOUG BODGER,77,77.35,80,76,81,78,80,74,80,74,80,71,78,72,75,73,79,81,74,74,72,81,80,80,59,59,2252
ALUM,Canada,PHI,,$0.8M,LD,LEFT,190.0,74,DOUG CROSSMAN,78,78.05,80,77,80,76,81,75,80,75,80,74,77,74,79,76,79,80,78,65,70,81,80,79,55,70,2118
ALUM,Canada,CGY,,$2.0M,C,LEFT,175.0,70,DOUG GILMOUR,81,82.00,83,79,81,81,83,81,83,82,83,83,86,82,84,80,79,78,82,80,67,81,85,84,87,78,1775
HH,Canada,TOR,,$5.0M,C,LEFT,175.0,70,DOUG GILMOUR,84,84.85,85,82,84,83,85,84,86,85,86,86,89,85,87,83,82,81,85,83,67,84,88,87,89,81,2430
ALUM,Canada,MTL,,$0.8M,C,LEFT,170.0,69,DOUG JARVIS,78,78.45,82,78,78,81,83,77,79,77,79,78,78,79,79,73,77,78,77,80,62,80,79,77,80,82,2023
ALUM,Canada,VAN,,$0.8M,RD,RIGHT,200.0,73,DOUG LIDSTER,78,77.50,79,76,81,76,81,72,80,72,80,65,80,65,77,77,83,81,83,74,77,82,81,79,50,75,2219
ALUM,Canada,MTL,,$0.7M,C,LEFT,178.0,70,DOUG RISEBROUGH,77,77.70,81,79,77,80,81,75,78,75,78,76,78,76,76,76,77,79,77,78,67,80,77,78,85,73,2028
ALUM,USA,STL,,$2.0M,C,LEFT,202.0,71,DOUG WEIGHT,81,80.85,83,80,81,80,84,79,83,84,86,83,82,83,84,87,76,80,74,84,65,80,74,74,81,74,2178
BA,Canada,NJD,Metropolitan,$2.0M,RD,RIGHT,230.0,78,DOUGIE HAMILTON,81,81.35,85,80,82,81,84,80,84,81,84,80,83,77,84,85,77,82,76,72,59,79,80,83,47,75,1368
BEM,Canada,NJD,Metropolitan,$6.0M,RD,RIGHT,230.0,78,DOUGIE HAMILTON,85,85.15,87,84,86,85,86,84,88,85,88,84,87,81,88,89,81,86,80,76,63,83,84,87,51,79,4051
