"event","overall","nationalitys","leagues","teams","POS","Skater ID"
"BA",76,"Canada","NHL","VAN","DEF",1818
"BA",78,"Canada","NHL","VAN","DEF",2217
"BA",76,"Sweden","NHL","VAN","DEF",650
"BA",82,"Canada","NHL","WSH","DEF",940
"BA",79,"Sweden","NHL","WSH","DEF",1844
"BA",78,"Slovakia","NHL","WSH","DEF",1442
"BA",75,"Canada","NHL","WSH","DEF",553
"BA",75,"Canada","NHL","WSH","DEF",624
"BA",83,"Canada","NHL","WPG","DEF",1156
"BA",78,"Canada","NHL","WPG","DEF",433
"BA",76,"Canada","NHL","WPG","DEF",619
"BA",76,"Canada","NHL","WPG","DEF",827
"BA",76,"Canada","NHL","WPG","DEF",1371
"BA",76,"Canada","NHL","WPG","DEF",1334
"BA",75,"Finland","NHL","WPG","DEF",2251
"ALUM",82,"Canada","NHLAA","ANA","DEF",739
"ALUM",80,"Russia","NHLAA","ANA","DEF",582
"ALUM",75,"Canada","NHLAA","ANA","DEF",1236
"ALUM",85,"Canada","NHLAA","BOS","DEF",1845
"ALUM",83,"Canada","NHLAA","BOS","DEF",238
"ALUM",82,"Slovakia","NHLAA","BOS","DEF",2344
"ALUM",79,"Canada","NHLAA","BOS","DEF",483
"ALUM",78,"Canada","NHLAA","BOS","DEF",635
"ALUM",75,"Canada","NHLAA","BOS","DEF",597
"ALUM",75,"Canada","NHLAA","BOS","DEF",1870
"ALUM",79,"Canada","NHLAA","BUF","DEF",784
"ALUM",78,"Canada","NHLAA","BUF","DEF",2287
"ALUM",77,"Canada","NHLAA","BUF","DEF",1152
"ALUM",75,"Canada","NHLAA","BUF","DEF",1282
"ALUM",80,"Canada","NHLAA","CGY","DEF",1780
"ALUM",78,"Canada","NHLAA","CGY","DEF",1899
"ALUM",75,"Canada","NHLAA","CGY","DEF",2092
"ALUM",79,"Canada","NHLAA","CAR","DEF",4
"ALUM",77,"Canada","NHLAA","CAR","DEF",1576
"ALUM",81,"Canada","NHLAA","CHI","DEF",276
"ALUM",80,"Canada","NHLAA","CHI","DEF",211
"ALUM",79,"Sweden","NHLAA","CHI","DEF",1677
"ALUM",78,"Canada","NHLAA","CHI","DEF",1096
"ALUM",77,"Canada","NHLAA","CHI","DEF",1217
"ALUM",77,"Canada","NHLAA","CHI","DEF",1219
"ALUM",77,"Canada","NHLAA","CHI","DEF",1803
"ALUM",82,"Canada","NHLAA","COL","DEF",16
"ALUM",81,"Germany","NHLAA","COL","DEF",2233
"ALUM",78,"Canada","NHLAA","COL","DEF",2112
"ALUM",76,"Canada","NHLAA","COL","DEF",1645
"ALUM",82,"Russia","NHLAA","CBJ","DEF",717
"ALUM",78,"Canada","NHLAA","CBJ","DEF",1369
"ALUM",83,"Russia","NHLAA","DAL","DEF",2031
"ALUM",78,"Canada","NHLAA","DAL","DEF",1866
"ALUM",75,"Canada","NHLAA","DAL","DEF",233
"ALUM",85,"Sweden","NHLAA","DET","DEF",1659
"ALUM",79,"Sweden","NHLAA","DET","DEF",1678
"ALUM",75,"Canada","NHLAA","DET","DEF",1466
"ALUM",75,"Canada","NHLAA","DET","DEF",1273
"ALUM",80,"Canada","NHLAA","DET","DEF",1851
"ALUM",84,"Canada","NHLAA","EDM","DEF",1773
"ALUM",80,"Canada","NHLAA","EDM","DEF",370
"ALUM",80,"Canada","NHLAA","EDM","DEF",1241
"ALUM",79,"Finland","NHLAA","EDM","DEF",1858
"ALUM",78,"Canada","NHLAA","EDM","DEF",1836
"ALUM",77,"Finland","NHLAA","EDM","DEF",967
"ALUM",76,"Canada","NHLAA","EDM","DEF",985
"ALUM",75,"Canada","NHLAA","EDM","DEF",1000
"ALUM",76,"Canada","NHLAA","EDM","DEF",2097
"ALUM",81,"Canada","NHLAA","FLA","DEF",989
"ALUM",81,"Canada","NHLAA","FLA","DEF",288
"ALUM",80,"Canada","NHLAA","FLA","DEF",793
"ALUM",76,"Canada","NHLAA","FLA","DEF",311
"ALUM",77,"Canada","NHLAA","FLA","DEF",1777
"ALUM",75,"Canada","NHLAA","FLA","DEF",2162
"ALUM",82,"Canada","NHLAA","LAK","DEF",1885
"ALUM",79,"Canada","NHLAA","LAK","DEF",2090
"ALUM",77,"Canada","NHLAA","LAK","DEF",1451
"ALUM",82,"Canada","NHLAA","MIN","DEF",466
"ALUM",80,"Canada","NHLAA","MIN","DEF",235
"ALUM",76,"Canada","NHLAA","MIN","DEF",216
"ALUM",82,"Czechia","NHLAA","MIN","DEF",732
"ALUM",81,"Canada","NHLAA","MIN","DEF",1654
"ALUM",79,"Canada","NHLAA","MIN","DEF",2298
"ALUM",76,"Czechia","NHLAA","MIN","DEF",2343
"ALUM",81,"Canada","NHLAA","MTL","DEF",2028
"ALUM",80,"Canada","NHLAA","MTL","DEF",1760
"ALUM",79,"Canada","NHLAA","MTL","DEF",815
"ALUM",77,"Canada","NHLAA","MTL","DEF",2053
"ALUM",76,"Canada","NHLAA","MTL","DEF",1813
"ALUM",76,"Canada","NHLAA","MTL","DEF",2085
"ALUM",75,"Canada","NHLAA","MTL","DEF",2133
"ALUM",81,"Czechia","NHLAA","NSH","DEF",1411
"ALUM",76,"Canada","NHLAA","NSH","DEF",804
"ALUM",75,"Canada","NHLAA","NSH","DEF",327
"ALUM",84,"Canada","NHLAA","NJD","DEF",2009
"ALUM",78,"Canada","NHLAA","NJD","DEF",1225
"ALUM",77,"Sweden","NHLAA","NJD","DEF",2170
"ALUM",76,"Canada","NHLAA","NJD","DEF",321
"ALUM",76,"Canada","NHLAA","NJD","DEF",436
"ALUM",85,"Canada","NHLAA","NYI","DEF",556
"ALUM",76,"Canada","NHLAA","NYI","DEF",997
"ALUM",80,"Canada","NHLAA","NYR","DEF",824
"ALUM",78,"Canada","NHLAA","NYR","DEF",487
"ALUM",77,"Canada","NHLAA","NYR","DEF",1553
"ALUM",75,"Canada","NHLAA","NYR","DEF",1903
"ALUM",82,"Canada","NHLAA","OTT","DEF",386
"ALUM",82,"Canada","NHLAA","OTT","DEF",2271
"ALUM",76,"Canada","NHLAA","OTT","DEF",2041
"ALUM",75,"Czechia","NHLAA","OTT","DEF",2079
"ALUM",78,"Canada","NHLAA","PHI","DEF",600
"ALUM",77,"Canada","NHLAA","PHI","DEF",1065
"ALUM",76,"Canada","NHLAA","PHI","DEF",237
"ALUM",75,"Canada","NHLAA","PHI","DEF",2163
"ALUM",84,"Canada","NHLAA","PIT","DEF",1281
"ALUM",80,"Canada","NHLAA","PIT","DEF",1837
"ALUM",79,"Lithuania","NHLAA","PIT","DEF",511
"ALUM",79,"Czechia","NHLAA","PIT","DEF",1048
"ALUM",75,"Canada","NHLAA","PIT","DEF",573
"ALUM",75,"Canada","NHLAA","PIT","DEF",1037
"ALUM",80,"Canada","NHLAA","SJS","DEF",2003
"ALUM",76,"Canada","NHLAA","SJS","DEF",313
"ALUM",76,"Sweden","NHLAA","SJS","DEF",608
"ALUM",84,"Canada","NHLAA","STL","DEF",387
"ALUM",83,"Canada","NHLAA","STL","DEF",40
"ALUM",79,"Canada","NHLAA","STL","DEF",1887
"ALUM",78,"Canada","NHLAA","STL","DEF",177
"ALUM",83,"Canada","NHLAA","TBL","DEF",486
"ALUM",82,"Canada","NHLAA","TBL","DEF",464
"ALUM",76,"Canada","NHLAA","TBL","DEF",463
"ALUM",82,"Sweden","NHLAA","TOR","DEF",228
"ALUM",81,"Canada","NHLAA","TOR","DEF",2152
"ALUM",79,"Canada","NHLAA","TOR","DEF",314
"ALUM",81,"Finland","NHLAA","VAN","DEF",1189
"ALUM",79,"Canada","NHLAA","VAN","DEF",564
"ALUM",78,"Canada","NHLAA","VAN","DEF",603
"ALUM",77,"Canada","NHLAA","VAN","DEF",521
"ALUM",75,"Canada","NHLAA","VAN","DEF",773
"ALUM",75,"Canada","NHLAA","TOR","DEF",208
"ALUM",77,"Canada","NHLAA","VAN","DEF",34
"ALUM",83,"Canada","NHLAA","WPG","DEF",1834
"ALUM",81,"Sweden","NHLAA","WPG","DEF",752
"ALUM",80,"Canada","NHLAA","WPG","DEF",522
"ALUM",83,"Canada","NHLAA","MTL","DEF",1283
"ALUM",77,"Sweden","NHLAA","PHI","DEF",1252
"ALUM",77,"Canada","NHLAA","SJS","DEF",599
"ALUM",77,"Canada","NHLAA","STL","DEF",349
"ALUM",75,"Canada","NHLAA","STL","DEF",1614
"ALUM",79,"Finland","NHLAA","VAN","DEF",1975
"ALUM",78,"Canada","NHLAA","VAN","DEF",822
"ALUM",75,"Canada","NHLAA","VAN","DEF",491
"ALUM",81,"Russia","NHLAA","WSH","DEF",2030
"ALUM",81,"Canada","NHLAA","WSH","DEF",1580
"ALUM",76,"Canada","NHLAA","WSH","DEF",291
"ALUM",76,"Canada","NHLAA","WSH","DEF",1004
"ALUM",82,"Finland","NHLAA","WPG","DEF",2130
"FI",81,"Finland","NHL","BOS","DEF",832
"BA",77,"Canada","PWHL","BOS","DEF",2349
"BA",76,"Canada","PWHL","BOS","DEF",1963
"BA",76,"Germany","PWHL","MIN","DEF",1379
"BA",76,"Canada","PWHL","MTL","DEF",1209
"BA",76,"Canada","PWHL","MTL","DEF",1028
"BA",77,"Canada","PWHL","MTL","DEF",95
"BA",81,"Canada","PWHL","MTL","DEF",689
"BA",77,"Sweden","PWHL","NY","DEF",1385
"BA",79,"Canada","PWHL","NY","DEF",923
"BA",80,"Canada","PWHL","NY","DEF",1547
"BA",75,"Sweden","PWHL","OTT","DEF",1027
"BA",76,"Canada","PWHL","OTT","DEF",2088
"BA",76,"Canada","PWHL","OTT","DEF",307
"BA",81,"Canada","PWHL","OTT","DEF",1053
"BA",76,"Canada","PWHL","TOR","DEF",1029
"BA",77,"Canada","PWHL","TOR","DEF",91
"BA",80,"Canada","PWHL","TOR","DEF",654
"BA",82,"Canada","PWHL","TOR","DEF",1863
"BA",76,"Canada","EA","SEA","DEF",1542
"BA",75,"Canada","EA","VAN","DEF",1544
"BA",76,"Canada","EA","VAN","DEF",2074
"BA",79,"Canada","EA","VAN","DEF",668
"BA",79,"Canada","EA","VAN","DEF",159
"BA",80,"Canada","EA","VAN","DEF",409
"FI",81,"Canada","NHL","OTT","DEF",1140
"TRAN",85,"Canada","NHL","BUF","DEF",229
"TRAN",84,"Canada","NHL","PIT","DEF",1480
"CMG",78,"Canada","NHL","DET","DEF",180
"CMG",85,"Canada","NHL","COL","DEF",273
"CMG",85,"Sweden","NHL","BUF","DEF",1841
"CMG",82,"Sweden","NHL","DET","DEF",682
"CMG",80,"Switzerland","NHL","DAL","DEF",1308
"CMG",80,"Sweden","NHL","DAL","DEF",1689
"CMG",82,"Russia","NHL","BOS","DEF",1674
"CMG",85,"Sweden","NHL","PIT","DEF",684
"CMG",85,"Russia","NHL","UTA","DEF",1592
"CMG",80,"Switzerland","NHL","NJD","DEF",1112
"CMG",82,"Canada","NHL","LAK","DEF",1067
"HRS",87,"Canada","NHLAA","FLA","DEF",288
"HRS",85,"Canada","NHLAA","FLA","DEF",288
"HRS",84,"Canada","NHLAA","FLA","DEF",288
"HRS",83,"Canada","NHLAA","FLA","DEF",288
"HRS",82,"Canada","NHLAA","FLA","DEF",288
"HRS",87,"Canada","NHLAA","WSH","DEF",1580
"HRS",85,"Canada","NHLAA","WSH","DEF",1580
"HRS",84,"Canada","NHLAA","WSH","DEF",1580
"HRS",83,"Canada","NHLAA","WSH","DEF",1580
"HRS",82,"Canada","NHLAA","WSH","DEF",1580
"HRS",82,"Canada","NHL","FLA","DEF",288
"CMG",80,"Canada","NHL","CBJ","DEF",506
"GB",80,"Canada","NHL","LAK","DEF",1263
"CMG",82,"Canada","NHL","NYI","DEF",1947
"CMG",80,"Canada","NHL","NSH","DEF",1665
"CMG",78,"Canada","NHL","TOR","DEF",403
"HUTC",85,"Czechia","NHL","NSH","DEF",1411
"HUTC",85,"Sweden","NHL","DET","DEF",1678
"MARQ",82,"Sweden","NHL","DET","DEF",42
"MARQ",82,"Canada","NHL","MTL","DEF",1557
"MARQ",85,"Canada","NHL","WPG","DEF",1156
"MARQ",85,"Canada","NHL","FLA","DEF",2
"BA",80,"Finland","AHL","CGY","DEF",1127
"BA",77,"Canada","AHL","CGY","DEF",1011
"BA",77,"Belarus","AHL","CGY","DEF",859
"BA",76,"Canada","AHL","CGY","DEF",1641
"BA",76,"Russia","AHL","CGY","DEF",146
"BA",76,"Russia","AHL","CGY","DEF",2315
"BA",77,"Canada","AHL","CHI","DEF",2209
"BA",76,"Sweden","AHL","CHI","DEF",1051
"BA",76,"Canada","AHL","CHI","DEF",1914
"BA",80,"Canada","AHL","TOR","DEF",1940
"BA",80,"Canada","AHL","TOR","DEF",374
"BA",78,"Canada","AHL","TOR","DEF",1864
"BA",77,"Canada","AHL","TOR","DEF",1475
"BA",76,"Canada","AHL","TOR","DEF",1439
"BA",76,"Canada","AHL","TOR","DEF",2294
"MARQ",80,"Czechia","NHL","ANA","DEF",1829
"MARQ",80,"Russia","NHL","SJS","DEF",585
"MARQ",82,"Canada","NHL","EDM","DEF",938
"MARQ",81,"Canada","NHL","CBJ","DEF",567
"MARQ",80,"Canada","NHL","CGY","DEF",1232
"MARQ",83,"Canada","NHL","TBL","DEF",515
"TRAN",82,"Finland","NHL","FLA","DEF",1681
"CHEL",82,"Canada","NHL","LAK","DEF",257
"FACE",83,"Canada","NHL","LAK","DEF",1067
"FACE",84,"Canada","NHL","EDM","DEF",512
"FACE",82,"Latvia","NHL","FLA","DEF",2232
"FACE",82,"Sweden","NHL","TOR","DEF",1711
"FACE",82,"Russia","NHL","OTT","DEF",148
"MARQ",81,"Canada","NHL","PIT","DEF",1930
"FACE",85,"Canada","NHL","SEA","DEF",253
"FACE",84,"Canada","NHL","ANA","DEF",1709
"FACE",85,"Sweden","NHL","CGY","DEF",1840
"TRAN",82,"Russia","NHL","PHI","DEF",147
"TRAN",84,"Canada","NHL","EDM","DEF",938
"FACE",85,"Sweden","NHL","EDM","DEF",1507
"FACE",83,"Canada","NHL","CAR","DEF",2024
"GB",80,"Russia","NHL","SJS","DEF",2038
"GB",81,"Canada","NHL","DET","DEF",906
"GB",81,"Canada","NHL","WPG","DEF",827
"GB",84,"Russia","NHL","PHI","DEF",2322
"GB",84,"Canada","NHL","DAL","DEF",2145
"MILE",86,"Canada","NHL","MIN","DEF",273
"MILE",86,"Canada","NHL","COL","DEF",273
"FACE",81,"Canada","NHL","PHI","DEF",1928
"FACE",85,"Canada","NHL","UTA","DEF",2017
"MARQ",83,"Canada","NHL","SJS","DEF",1969
"MARQ",83,"Sweden","NHL","DET","DEF",173
"MARQ",83,"Russia","NHL","CAR","DEF",77
"MARQ",83,"Canada","NHL","PIT","DEF",823
"MARQ",84,"Canada","NHL","NYI","DEF",1503
"TRAN",81,"Canada","NHL","MTL","DEF",765
"FACE",83,"Canada","NHL","CBJ","DEF",485
"MARQ",85,"Russia","NHL","ANA","DEF",1783
"FACE",83,"Sweden","NHL","STL","DEF",1804
"FACE",84,"Canada","NHL","DET","DEF",180
"FACE",83,"Finland","NHL","UTA","DEF",1720
"FACE",82,"Switzerland","NHL","TBL","DEF",877
"FACE",82,"Canada","NHL","NYI","DEF",31
"FACE",83,"Finland","NHL","DAL","DEF",691
"BEM",82,"Canada","NHL","PHI","DEF",2185
"BEM",81,"Canada","NHL","PHI","DEF",2185
"BEM",83,"Canada","NHL","PHI","DEF",2185
"BEM",84,"Canada","NHL","PHI","DEF",2185
"BEM",85,"Canada","NHL","PHI","DEF",2185
"BEM",86,"Canada","NHL","PHI","DEF",2185
"BEM",84,"Slovakia","NHL","TBL","DEF",679
"BEM",83,"Canada","NHL","COL","DEF",1155
"BEM",82,"Canada","NHL","CHI","DEF",1239
"GB",81,"Russia","NHL","DAL","DEF",857
"GB",82,"Canada","NHL","NJD","DEF",269
"GB",84,"Canada","NHL","WPG","DEF",619
"BEM",83,"Sweden","NHL","VAN","DEF",1407
"HUTC",86,"Canada","NHL","TBL","DEF",486
"HUTC",86,"Canada","NHL","NYI","DEF",556
"BEM",83,"Canada","NHL","CGY","DEF",259
"BEM",85,"Canada","NHL","WSH","DEF",940
"BEM",81,"Finland","NHL","TOR","DEF",964
"BEM",81,"Canada","NHL","EDM","DEF",705
"BEM",82,"Canada","NHL","EDM","DEF",705
"BEM",83,"Canada","NHL","EDM","DEF",705
"BEM",84,"Canada","NHL","EDM","DEF",705
"BEM",85,"Canada","NHL","EDM","DEF",705
"BEM",86,"Canada","NHL","EDM","DEF",705
"BEM",81,"Canada","NHL","SEA","DEF",253
"BEM",82,"Canada","NHL","SEA","DEF",253
"BEM",83,"Canada","NHL","SEA","DEF",253
"BEM",84,"Canada","NHL","SEA","DEF",253
"BEM",86,"Canada","NHL","SEA","DEF",253
"BEM",85,"Canada","NHL","SEA","DEF",253
"BEM",85,"Canada","NHL","BUF","DEF",1747
"BEM",83,"Canada","NHL","NSH","DEF",1665
"BEM",85,"Canada","NHL","NJD","DEF",606
"BEM",87,"Russia","NHL","BOS","DEF",1674
"BEM",83,"Canada","NHL","WPG","DEF",1371
"MILE",86,"Canada","NHL","PIT","DEF",1259
"MILE",86,"Sweden","NHL","TBL","DEF",2241
"TRAN",86,"Canada","NHL","DAL","DEF",2145
"BEM",84,"Canada","NHL","MTL","DEF",1692
"GB",81,"Canada","NHL","CHI","DEF",1337
"GB",81,"Canada","NHL","BUF","DEF",457
"GB",83,"Canada","NHL","OTT","DEF",2144
"MILE",86,"Slovakia","NHL","NJD","DEF",2067
"TRAN",82,"Canada","NHL","TOR","DEF",2199
"HUTC",87,"Canada","NHLAA","COL","DEF",16
"HUTC",87,"Canada","NHLAA","SJS","DEF",2003
"BEM",86,"Canada","PWHL","VAN","DEF",668
"BEM",84,"Canada","PWHL","MTL","DEF",95
"MARQ",86,"Canada","PWHL","NY","DEF",923
"MARQ",84,"Canada","PWHL","OTT","DEF",307
"MARQ",84,"Canada","PWHL","BOS","DEF",1963
"CMG",84,"Canada","PWHL","BOS","DEF",2349
"CMG",83,"Canada","PWHL","VAN","DEF",2074
"FI",84,"Canada","PWHL","OTT","DEF",2088
"FI",83,"Germany","PWHL","MIN","DEF",1379
"FI",83,"Canada","PWHL","MTL","DEF",1209
"CCAP",88,"Canada","PWHL","NY","DEF",1547
"HRS",88,"Canada","NHLAA","TOR","DEF",2152
"HRS",88,"Finland","NHLAA","VAN","DEF",1189
"HRS",86,"Canada","NHLAA","TOR","DEF",2152
"HRS",86,"Finland","NHLAA","VAN","DEF",1189
"HRS",85,"Canada","NHLAA","TOR","DEF",2152
"HRS",84,"Canada","NHLAA","TOR","DEF",2152
"HRS",84,"Finland","NHLAA","VAN","DEF",1189
"HRS",83,"Canada","NHLAA","TOR","DEF",2152
"HRS",83,"Finland","NHLAA","VAN","DEF",1189
"HRS",85,"Finland","NHL","VAN","DEF",1189
"CHEL",84,"Canada","NHL","NYR","DEF",241
"CHEL",84,"Sweden","NHL","CHI","DEF",1677
"CHEL",85,"Canada","NHLAA","NYR","DEF",1000
"CHEL",82,"Canada","NHL","NYR","DEF",487
"FI",88,"Canada","NHL","SEA","DEF",958
"GB",84,"Canada","NHL","CBJ","DEF",506
"GB",87,"Sweden","NHL","EDM","DEF",1507
"GB",88,"Sweden","NHL","TOR","DEF",1711
